Sample_seq_ID,Sample_source,Collection_date,Animal_ID,Age_category,Body_length_mm,Body_mass_g,Trapping_site,Reproduction_information,Sex,Epigenetic_age_days_Clock2
96-2_9,Skokholm,27/09/2019,SK0156,Juvenile,52,6.8,Quarry,Imperforate,Female,111.8351006
96-2_90,Skokholm,28/09/2020,SK0326,Juvenile,57.7,6.2,Observatory,Testes abdominal,Male,79.79471924
96-2_91,Skokholm,26/09/2020,SK0321,Sub-adult,84.3,15.9,Observatory,,Male,198.3428392
96-2_93,Skokholm,20/09/2019,SK0077,Juvenile,75.4,11,Quarry,Testes abdominal,Male,120.249382
96-2_94,Skokholm,13/07/2019,SK0032,Juvenile,NA,8.5,Quarry,Testes abdominal,Male?,99.98555251
96-3_1,Skokholm,27/09/2020,SK0326,Juvenile,60,7.4,Observatory,Testes abdominal,Male,81.46952516
96-3_10,Skokholm,28/09/2020,SK0209,Adult,91.5,24,Observatory,Testes large,Male,348.1767245
96-3_11,Skokholm,15/04/2021,SK0321,Adult,89,24.4,Observatory,Testes small,Male,273.0407394
96-3_12,Skokholm,11/07/2019,SK0025,Juvenile,NA,10.5,Observatory,Testes abdominal,Male?,29.6601336
96-3_13,Skokholm,18/09/2019,SK0029,Adult,88.5,26,Quarry,Imperforate,Female,299.0549922
96-3_14,Skokholm,20/07/2019,SK0015,Adult,NA,24.9,Quarry,Testes small,Male,375.7108815
